dataset,CCRMean,CCRSD,MAEMean,MAESD,NHMean,NHSD
ERA,0.249333,0.026623,1.360267,0.150086,15.200000,11.593101
ESL,0.694536,0.028794,0.329235,0.031200,25.600000,8.262364
LEV,0.598933,0.033564,0.431067,0.037665,20.000000,10.832051
SWD,0.561733,0.031839,0.467867,0.037294,13.200000,8.011103
automobile,0.600000,0.089548,0.580128,0.144536,30.400000,5.059644
balance,0.928662,0.026469,0.083864,0.034446,24.000000,8.432740
bondrate,0.560000,0.077509,0.606667,0.124229,20.400000,10.741405
car,0.977701,0.010900,0.025617,0.012634,30.400000,5.059644
contact-lenses,0.661111,0.202869,0.500000,0.327536,24.300000,13.013241
depresion,0.653283,0.192474,0.509091,0.316757,24.300000,13.013241
eucalyptus,0.599638,0.036704,0.476993,0.055290,24.000000,8.432740
newthyroid,0.956790,0.032014,0.043210,0.032014,21.600000,11.345092
pasture,0.722222,0.119421,0.311111,0.138101,17.600000,8.262364
squash-stored,0.656410,0.139567,0.366667,0.154750,28.800000,6.746192
squash-unstored,0.669231,0.131151,0.330769,0.131151,20.800000,10.119289
tae,0.414912,0.085952,0.764912,0.145938,17.600000,11.027239
thyroid,0.944630,0.008216,0.101574,0.015156,28.800000,6.746192
winequality-red,0.578250,0.016856,0.459833,0.020128,28.000000,8.640988
winequality-white,0.543728,0.010689,0.515374,0.009745,30.400000,5.059644
